planner,scenario,instance,parameter,value,metric,result
Modified,normal_city,4,subgoal_dist,12.0,success,1.0
Modified,normal_city,5,subgoal_dist,12.0,success,1.0
Modified,normal_city,6,subgoal_dist,12.0,success,1.0
Modified,normal_city,7,subgoal_dist,12.0,success,1.0
Modified,normal_city,8,subgoal_dist,12.0,success,1.0
Modified,normal_city,9,subgoal_dist,12.0,success,1.0
Modified,normal_city,10,subgoal_dist,12.0,success,1.0
Modified,normal_city,11,subgoal_dist,12.0,success,1.0
Modified,normal_city,12,subgoal_dist,12.0,success,1.0
Modified,normal_city,13,subgoal_dist,12.0,success,1.0
Modified,normal_city,14,subgoal_dist,12.0,success,1.0
Modified,normal_city,15,subgoal_dist,12.0,success,1.0
Modified,normal_city,16,subgoal_dist,12.0,success,1.0
Modified,normal_city,17,subgoal_dist,12.0,success,1.0
Modified,normal_city,18,subgoal_dist,12.0,success,1.0
Modified,normal_city,19,subgoal_dist,12.0,success,1.0
Modified,normal_city,20,subgoal_dist,12.0,success,1.0
Modified,normal_city,21,subgoal_dist,12.0,success,1.0
Modified,normal_city,22,subgoal_dist,12.0,success,1.0
Modified,normal_city,23,subgoal_dist,12.0,success,1.0
Modified,normal_city,24,subgoal_dist,12.0,success,1.0
Modified,normal_city,25,subgoal_dist,12.0,success,1.0
Modified,normal_city,26,subgoal_dist,12.0,success,1.0
Modified,normal_city,27,subgoal_dist,12.0,success,1.0
Modified,normal_city,28,subgoal_dist,12.0,success,1.0
Modified,normal_city,29,subgoal_dist,12.0,success,1.0
Modified,blocked_road,0,subgoal_dist,12.0,success,1.0
Modified,blocked_road,1,subgoal_dist,12.0,success,1.0
Modified,blocked_road,2,subgoal_dist,12.0,success,1.0
Modified,blocked_road,3,subgoal_dist,12.0,success,1.0
Modified,blocked_road,4,subgoal_dist,12.0,success,1.0
Modified,blocked_road,5,subgoal_dist,12.0,success,1.0
Modified,blocked_road,6,subgoal_dist,12.0,success,1.0
Modified,blocked_road,7,subgoal_dist,12.0,success,1.0
Modified,blocked_road,8,subgoal_dist,12.0,success,1.0
Modified,blocked_road,9,subgoal_dist,12.0,success,1.0
Modified,blocked_road,10,subgoal_dist,12.0,success,1.0
Modified,blocked_road,11,subgoal_dist,12.0,success,1.0
Modified,blocked_road,12,subgoal_dist,12.0,success,1.0
Modified,blocked_road,13,subgoal_dist,12.0,success,1.0
Modified,blocked_road,14,subgoal_dist,12.0,success,1.0
Modified,blocked_road,15,subgoal_dist,12.0,success,1.0
Modified,blocked_road,16,subgoal_dist,12.0,success,1.0
Modified,blocked_road,17,subgoal_dist,12.0,success,1.0
Modified,blocked_road,18,subgoal_dist,12.0,success,1.0
Modified,blocked_road,19,subgoal_dist,12.0,success,1.0
Modified,blocked_road,20,subgoal_dist,12.0,success,1.0
Modified,blocked_road,21,subgoal_dist,12.0,success,1.0
Modified,blocked_road,22,subgoal_dist,12.0,success,1.0
Modified,blocked_road,23,subgoal_dist,12.0,success,1.0
Modified,blocked_road,24,subgoal_dist,12.0,success,1.0
Modified,blocked_road,25,subgoal_dist,12.0,success,1.0
Modified,blocked_road,26,subgoal_dist,12.0,success,1.0
Modified,blocked_road,27,subgoal_dist,12.0,success,1.0
Modified,blocked_road,28,subgoal_dist,12.0,success,1.0
Modified,blocked_road,29,subgoal_dist,12.0,success,1.0
Modified,dense_city,0,subgoal_dist,12.0,success,1.0
Modified,dense_city,1,subgoal_dist,12.0,success,1.0
Modified,dense_city,2,subgoal_dist,12.0,success,1.0
Modified,dense_city,3,subgoal_dist,12.0,success,1.0
Modified,dense_city,4,subgoal_dist,12.0,success,1.0
Modified,dense_city,5,subgoal_dist,12.0,success,1.0
Modified,dense_city,6,subgoal_dist,12.0,success,1.0
Modified,dense_city,7,subgoal_dist,12.0,success,1.0
Modified,dense_city,8,subgoal_dist,12.0,success,1.0
Modified,dense_city,9,subgoal_dist,12.0,success,0.0
Modified,dense_city,10,subgoal_dist,12.0,success,1.0
Modified,dense_city,11,subgoal_dist,12.0,success,1.0
Modified,dense_city,12,subgoal_dist,12.0,success,1.0
Modified,dense_city,13,subgoal_dist,12.0,success,1.0
Modified,dense_city,14,subgoal_dist,12.0,success,1.0
Modified,dense_city,15,subgoal_dist,12.0,success,1.0
Modified,dense_city,16,subgoal_dist,12.0,success,1.0
Modified,dense_city,17,subgoal_dist,12.0,success,1.0
Modified,dense_city,18,subgoal_dist,12.0,success,1.0
Modified,dense_city,19,subgoal_dist,12.0,success,1.0
Modified,dense_city,20,subgoal_dist,12.0,success,1.0
Modified,dense_city,21,subgoal_dist,12.0,success,1.0
Modified,dense_city,22,subgoal_dist,12.0,success,1.0
Modified,dense_city,23,subgoal_dist,12.0,success,1.0
Modified,dense_city,24,subgoal_dist,12.0,success,1.0
Modified,dense_city,25,subgoal_dist,12.0,success,1.0
Modified,dense_city,26,subgoal_dist,12.0,success,1.0
Modified,dense_city,27,subgoal_dist,12.0,success,1.0
Modified,dense_city,28,subgoal_dist,12.0,success,1.0
Modified,dense_city,29,subgoal_dist,12.0,success,1.0
Modified,normal_city,0,subgoal_dist,18.0,success,1.0
Modified,normal_city,1,subgoal_dist,18.0,success,1.0
Modified,normal_city,2,subgoal_dist,18.0,success,1.0
Modified,normal_city,3,subgoal_dist,18.0,success,1.0
Modified,normal_city,4,subgoal_dist,18.0,success,1.0
Modified,normal_city,5,subgoal_dist,18.0,success,1.0
Modified,normal_city,6,subgoal_dist,18.0,success,1.0
Modified,normal_city,7,subgoal_dist,18.0,success,1.0
Modified,normal_city,8,subgoal_dist,18.0,success,1.0
Modified,normal_city,9,subgoal_dist,18.0,success,1.0
Modified,normal_city,10,subgoal_dist,18.0,success,1.0
Modified,normal_city,11,subgoal_dist,18.0,success,1.0
Modified,normal_city,12,subgoal_dist,18.0,success,1.0
Modified,normal_city,13,subgoal_dist,18.0,success,1.0
Modified,normal_city,14,subgoal_dist,18.0,success,1.0
Modified,normal_city,15,subgoal_dist,18.0,success,1.0
Modified,normal_city,16,subgoal_dist,18.0,success,1.0
Modified,normal_city,17,subgoal_dist,18.0,success,1.0
Modified,normal_city,18,subgoal_dist,18.0,success,1.0
Modified,normal_city,19,subgoal_dist,18.0,success,1.0
Modified,normal_city,20,subgoal_dist,18.0,success,1.0
Modified,normal_city,21,subgoal_dist,18.0,success,1.0
Modified,normal_city,22,subgoal_dist,18.0,success,1.0
Modified,normal_city,23,subgoal_dist,18.0,success,1.0
Modified,normal_city,24,subgoal_dist,18.0,success,1.0
Modified,normal_city,25,subgoal_dist,18.0,success,1.0
Modified,normal_city,26,subgoal_dist,18.0,success,1.0
Modified,normal_city,27,subgoal_dist,18.0,success,1.0
Modified,normal_city,28,subgoal_dist,18.0,success,1.0
Modified,normal_city,29,subgoal_dist,18.0,success,1.0
Modified,blocked_road,0,subgoal_dist,18.0,success,1.0
Modified,blocked_road,1,subgoal_dist,18.0,success,1.0
Modified,blocked_road,2,subgoal_dist,18.0,success,1.0
Modified,blocked_road,3,subgoal_dist,18.0,success,1.0
Modified,blocked_road,4,subgoal_dist,18.0,success,1.0
Modified,blocked_road,5,subgoal_dist,18.0,success,1.0
Modified,blocked_road,6,subgoal_dist,18.0,success,1.0
Modified,blocked_road,7,subgoal_dist,18.0,success,1.0
Modified,blocked_road,8,subgoal_dist,18.0,success,1.0
Modified,blocked_road,9,subgoal_dist,18.0,success,1.0
Modified,blocked_road,10,subgoal_dist,18.0,success,1.0
Modified,blocked_road,11,subgoal_dist,18.0,success,1.0
Modified,blocked_road,12,subgoal_dist,18.0,success,1.0
Modified,blocked_road,13,subgoal_dist,18.0,success,1.0
Modified,blocked_road,14,subgoal_dist,18.0,success,1.0
Modified,blocked_road,15,subgoal_dist,18.0,success,1.0
Modified,blocked_road,16,subgoal_dist,18.0,success,1.0
Modified,blocked_road,17,subgoal_dist,18.0,success,1.0
Modified,blocked_road,18,subgoal_dist,18.0,success,1.0
Modified,blocked_road,19,subgoal_dist,18.0,success,1.0
Modified,blocked_road,20,subgoal_dist,18.0,success,1.0
Modified,blocked_road,21,subgoal_dist,18.0,success,1.0
Modified,blocked_road,22,subgoal_dist,18.0,success,1.0
Modified,blocked_road,23,subgoal_dist,18.0,success,1.0
Modified,blocked_road,24,subgoal_dist,18.0,success,1.0
Modified,blocked_road,25,subgoal_dist,18.0,success,1.0
Modified,blocked_road,26,subgoal_dist,18.0,success,1.0
Modified,blocked_road,27,subgoal_dist,18.0,success,1.0
Modified,blocked_road,28,subgoal_dist,18.0,success,1.0
Modified,blocked_road,29,subgoal_dist,18.0,success,1.0
Modified,dense_city,0,subgoal_dist,18.0,success,1.0
Modified,dense_city,1,subgoal_dist,18.0,success,1.0
Modified,dense_city,2,subgoal_dist,18.0,success,1.0
Modified,dense_city,3,subgoal_dist,18.0,success,1.0
Modified,dense_city,4,subgoal_dist,18.0,success,1.0
Modified,dense_city,5,subgoal_dist,18.0,success,1.0
Modified,dense_city,6,subgoal_dist,18.0,success,1.0
Modified,dense_city,7,subgoal_dist,18.0,success,1.0
Modified,dense_city,8,subgoal_dist,18.0,success,1.0
Modified,dense_city,9,subgoal_dist,18.0,success,0.0
Modified,dense_city,10,subgoal_dist,18.0,success,1.0
Modified,dense_city,11,subgoal_dist,18.0,success,1.0
Modified,dense_city,12,subgoal_dist,18.0,success,1.0
Modified,dense_city,13,subgoal_dist,18.0,success,1.0
Modified,dense_city,14,subgoal_dist,18.0,success,1.0
Modified,dense_city,15,subgoal_dist,18.0,success,1.0
Modified,dense_city,16,subgoal_dist,18.0,success,1.0
Modified,dense_city,17,subgoal_dist,18.0,success,1.0
Modified,dense_city,18,subgoal_dist,18.0,success,1.0
Modified,dense_city,19,subgoal_dist,18.0,success,1.0
Modified,dense_city,20,subgoal_dist,18.0,success,1.0
Modified,dense_city,21,subgoal_dist,18.0,success,1.0
Modified,dense_city,22,subgoal_dist,18.0,success,1.0
Modified,dense_city,23,subgoal_dist,18.0,success,1.0
Modified,dense_city,24,subgoal_dist,18.0,success,1.0
Modified,dense_city,25,subgoal_dist,18.0,success,1.0
Modified,dense_city,26,subgoal_dist,18.0,success,1.0
Modified,dense_city,27,subgoal_dist,18.0,success,1.0
Modified,dense_city,28,subgoal_dist,18.0,success,1.0
Modified,dense_city,29,subgoal_dist,18.0,success,1.0
Modified,normal_city,0,subgoal_dist,27.0,success,1.0
Modified,normal_city,1,subgoal_dist,27.0,success,1.0
Modified,normal_city,2,subgoal_dist,27.0,success,1.0
Modified,normal_city,3,subgoal_dist,27.0,success,1.0
Modified,normal_city,4,subgoal_dist,27.0,success,1.0
Modified,normal_city,5,subgoal_dist,27.0,success,1.0
Modified,normal_city,6,subgoal_dist,27.0,success,1.0
Modified,normal_city,7,subgoal_dist,27.0,success,1.0
Modified,normal_city,8,subgoal_dist,27.0,success,1.0
Modified,normal_city,9,subgoal_dist,27.0,success,1.0
Modified,normal_city,10,subgoal_dist,27.0,success,1.0
Modified,normal_city,11,subgoal_dist,27.0,success,1.0
Modified,normal_city,12,subgoal_dist,27.0,success,1.0
Modified,normal_city,13,subgoal_dist,27.0,success,1.0
Modified,normal_city,14,subgoal_dist,27.0,success,1.0
Modified,normal_city,15,subgoal_dist,27.0,success,1.0
Modified,normal_city,16,subgoal_dist,27.0,success,1.0
Modified,normal_city,17,subgoal_dist,27.0,success,1.0
Modified,normal_city,18,subgoal_dist,27.0,success,1.0
Modified,normal_city,19,subgoal_dist,27.0,success,1.0
Modified,normal_city,20,subgoal_dist,27.0,success,1.0
Modified,normal_city,21,subgoal_dist,27.0,success,1.0
Modified,normal_city,22,subgoal_dist,27.0,success,1.0
Modified,normal_city,23,subgoal_dist,27.0,success,1.0
Modified,normal_city,24,subgoal_dist,27.0,success,1.0
Modified,normal_city,25,subgoal_dist,27.0,success,1.0
Modified,normal_city,26,subgoal_dist,27.0,success,1.0
Modified,normal_city,27,subgoal_dist,27.0,success,1.0
Modified,normal_city,28,subgoal_dist,27.0,success,1.0
Modified,normal_city,29,subgoal_dist,27.0,success,1.0
Modified,blocked_road,0,subgoal_dist,27.0,success,1.0
Modified,blocked_road,1,subgoal_dist,27.0,success,1.0
Modified,blocked_road,2,subgoal_dist,27.0,success,1.0
Modified,blocked_road,3,subgoal_dist,27.0,success,1.0
Modified,blocked_road,4,subgoal_dist,27.0,success,1.0
Modified,blocked_road,5,subgoal_dist,27.0,success,1.0
Modified,blocked_road,6,subgoal_dist,27.0,success,1.0
Modified,blocked_road,7,subgoal_dist,27.0,success,1.0
Modified,blocked_road,8,subgoal_dist,27.0,success,1.0
Modified,blocked_road,9,subgoal_dist,27.0,success,1.0
Modified,blocked_road,10,subgoal_dist,27.0,success,1.0
Modified,blocked_road,11,subgoal_dist,27.0,success,1.0
Modified,blocked_road,12,subgoal_dist,27.0,success,1.0
Modified,blocked_road,13,subgoal_dist,27.0,success,1.0
Modified,blocked_road,14,subgoal_dist,27.0,success,1.0
Modified,blocked_road,15,subgoal_dist,27.0,success,1.0
Modified,blocked_road,16,subgoal_dist,27.0,success,1.0
Modified,blocked_road,17,subgoal_dist,27.0,success,1.0
Modified,blocked_road,18,subgoal_dist,27.0,success,1.0
Modified,blocked_road,19,subgoal_dist,27.0,success,1.0
Modified,blocked_road,20,subgoal_dist,27.0,success,1.0
Modified,blocked_road,21,subgoal_dist,27.0,success,1.0
Modified,blocked_road,22,subgoal_dist,27.0,success,1.0
Modified,blocked_road,23,subgoal_dist,27.0,success,1.0
Modified,blocked_road,24,subgoal_dist,27.0,success,1.0
Modified,blocked_road,25,subgoal_dist,27.0,success,1.0
Modified,blocked_road,26,subgoal_dist,27.0,success,1.0
Modified,blocked_road,27,subgoal_dist,27.0,success,1.0
Modified,blocked_road,28,subgoal_dist,27.0,success,1.0
Modified,blocked_road,29,subgoal_dist,27.0,success,1.0
Modified,dense_city,0,subgoal_dist,27.0,success,1.0
Modified,dense_city,1,subgoal_dist,27.0,success,1.0
Modified,dense_city,2,subgoal_dist,27.0,success,1.0
Modified,dense_city,3,subgoal_dist,27.0,success,1.0
Modified,dense_city,4,subgoal_dist,27.0,success,1.0
Modified,dense_city,5,subgoal_dist,27.0,success,1.0
Modified,dense_city,6,subgoal_dist,27.0,success,1.0
Modified,dense_city,7,subgoal_dist,27.0,success,1.0
Modified,dense_city,8,subgoal_dist,27.0,success,1.0
Modified,dense_city,9,subgoal_dist,27.0,success,0.0
Modified,dense_city,10,subgoal_dist,27.0,success,1.0
Modified,dense_city,11,subgoal_dist,27.0,success,1.0
Modified,dense_city,12,subgoal_dist,27.0,success,1.0
Modified,dense_city,13,subgoal_dist,27.0,success,1.0
Modified,dense_city,14,subgoal_dist,27.0,success,1.0
Modified,dense_city,15,subgoal_dist,27.0,success,1.0
Modified,dense_city,16,subgoal_dist,27.0,success,1.0
Modified,dense_city,17,subgoal_dist,27.0,success,1.0
Modified,dense_city,18,subgoal_dist,27.0,success,1.0
Modified,dense_city,19,subgoal_dist,27.0,success,1.0
Modified,dense_city,20,subgoal_dist,27.0,success,1.0
Modified,dense_city,21,subgoal_dist,27.0,success,1.0
Modified,dense_city,22,subgoal_dist,27.0,success,1.0
Modified,dense_city,23,subgoal_dist,27.0,success,1.0
Modified,dense_city,24,subgoal_dist,27.0,success,1.0
Modified,dense_city,25,subgoal_dist,27.0,success,1.0
Modified,dense_city,26,subgoal_dist,27.0,success,1.0
Modified,dense_city,27,subgoal_dist,27.0,success,1.0
Modified,dense_city,28,subgoal_dist,27.0,success,1.0
Modified,dense_city,29,subgoal_dist,27.0,success,1.0
Modified,normal_city,0,subgoal_dist,40.0,success,1.0
Modified,normal_city,1,subgoal_dist,40.0,success,1.0
Modified,normal_city,2,subgoal_dist,40.0,success,1.0
Modified,normal_city,3,subgoal_dist,40.0,success,1.0
Modified,normal_city,4,subgoal_dist,40.0,success,1.0
Modified,normal_city,5,subgoal_dist,40.0,success,1.0
Modified,normal_city,6,subgoal_dist,40.0,success,1.0
Modified,normal_city,7,subgoal_dist,40.0,success,1.0
Modified,normal_city,8,subgoal_dist,40.0,success,1.0
Modified,normal_city,9,subgoal_dist,40.0,success,1.0
Modified,normal_city,10,subgoal_dist,40.0,success,1.0
Modified,normal_city,11,subgoal_dist,40.0,success,1.0
Modified,normal_city,12,subgoal_dist,40.0,success,1.0
Modified,normal_city,13,subgoal_dist,40.0,success,1.0
Modified,normal_city,14,subgoal_dist,40.0,success,1.0
Modified,normal_city,15,subgoal_dist,40.0,success,1.0
Modified,normal_city,16,subgoal_dist,40.0,success,1.0
Modified,normal_city,17,subgoal_dist,40.0,success,1.0
Modified,normal_city,18,subgoal_dist,40.0,success,1.0
Modified,normal_city,19,subgoal_dist,40.0,success,1.0
Modified,normal_city,20,subgoal_dist,40.0,success,1.0
Modified,normal_city,21,subgoal_dist,40.0,success,1.0
Modified,normal_city,22,subgoal_dist,40.0,success,1.0
Modified,normal_city,23,subgoal_dist,40.0,success,1.0
Modified,normal_city,24,subgoal_dist,40.0,success,1.0
Modified,normal_city,25,subgoal_dist,40.0,success,1.0
Modified,normal_city,26,subgoal_dist,40.0,success,1.0
Modified,normal_city,27,subgoal_dist,40.0,success,1.0
Modified,normal_city,28,subgoal_dist,40.0,success,1.0
Modified,normal_city,29,subgoal_dist,40.0,success,1.0
Modified,blocked_road,0,subgoal_dist,40.0,success,1.0
Modified,blocked_road,1,subgoal_dist,40.0,success,1.0
Modified,blocked_road,2,subgoal_dist,40.0,success,1.0
Modified,blocked_road,3,subgoal_dist,40.0,success,1.0
Modified,blocked_road,4,subgoal_dist,40.0,success,1.0
Modified,blocked_road,5,subgoal_dist,40.0,success,1.0
Modified,blocked_road,6,subgoal_dist,40.0,success,1.0
Modified,blocked_road,7,subgoal_dist,40.0,success,1.0
Modified,blocked_road,8,subgoal_dist,40.0,success,1.0
Modified,blocked_road,9,subgoal_dist,40.0,success,1.0
Modified,blocked_road,10,subgoal_dist,40.0,success,1.0
Modified,blocked_road,11,subgoal_dist,40.0,success,1.0
Modified,blocked_road,12,subgoal_dist,40.0,success,1.0
Modified,blocked_road,13,subgoal_dist,40.0,success,1.0
Modified,blocked_road,14,subgoal_dist,40.0,success,1.0
Modified,blocked_road,15,subgoal_dist,40.0,success,1.0
Modified,blocked_road,16,subgoal_dist,40.0,success,1.0
Modified,blocked_road,17,subgoal_dist,40.0,success,1.0
Modified,blocked_road,18,subgoal_dist,40.0,success,1.0
Modified,blocked_road,19,subgoal_dist,40.0,success,1.0
Modified,blocked_road,20,subgoal_dist,40.0,success,1.0
Modified,blocked_road,21,subgoal_dist,40.0,success,1.0
Modified,blocked_road,22,subgoal_dist,40.0,success,1.0
Modified,blocked_road,23,subgoal_dist,40.0,success,1.0
Modified,blocked_road,24,subgoal_dist,40.0,success,1.0
Modified,blocked_road,25,subgoal_dist,40.0,success,1.0
Modified,blocked_road,26,subgoal_dist,40.0,success,1.0
Modified,blocked_road,27,subgoal_dist,40.0,success,1.0
Modified,blocked_road,28,subgoal_dist,40.0,success,1.0
Modified,blocked_road,29,subgoal_dist,40.0,success,1.0
Modified,dense_city,0,subgoal_dist,40.0,success,1.0
Modified,dense_city,1,subgoal_dist,40.0,success,1.0
Modified,dense_city,2,subgoal_dist,40.0,success,1.0
Modified,dense_city,3,subgoal_dist,40.0,success,1.0
Modified,dense_city,4,subgoal_dist,40.0,success,1.0
Modified,dense_city,5,subgoal_dist,40.0,success,1.0
Modified,dense_city,6,subgoal_dist,40.0,success,1.0
Modified,dense_city,7,subgoal_dist,40.0,success,1.0
Modified,dense_city,8,subgoal_dist,40.0,success,1.0
Modified,dense_city,9,subgoal_dist,40.0,success,0.0
Modified,dense_city,10,subgoal_dist,40.0,success,1.0
Modified,dense_city,11,subgoal_dist,40.0,success,1.0
Modified,dense_city,12,subgoal_dist,40.0,success,1.0
Modified,dense_city,13,subgoal_dist,40.0,success,1.0
Modified,dense_city,14,subgoal_dist,40.0,success,1.0
Modified,dense_city,15,subgoal_dist,40.0,success,1.0
Modified,dense_city,16,subgoal_dist,40.0,success,1.0
Modified,dense_city,17,subgoal_dist,40.0,success,1.0
Modified,dense_city,18,subgoal_dist,40.0,success,1.0
Modified,dense_city,19,subgoal_dist,40.0,success,1.0
Modified,dense_city,20,subgoal_dist,40.0,success,1.0
Modified,dense_city,21,subgoal_dist,40.0,success,1.0
Modified,dense_city,22,subgoal_dist,40.0,success,1.0
Modified,dense_city,23,subgoal_dist,40.0,success,1.0
Modified,dense_city,24,subgoal_dist,40.0,success,1.0
Modified,dense_city,25,subgoal_dist,40.0,success,1.0
Modified,dense_city,26,subgoal_dist,40.0,success,1.0
Modified,dense_city,27,subgoal_dist,40.0,success,1.0
Modified,dense_city,28,subgoal_dist,40.0,success,1.0
Modified,dense_city,29,subgoal_dist,40.0,success,1.0
Modified,normal_city,0,subgoal_dist,9.0,path_length,150.442
Modified,normal_city,1,subgoal_dist,9.0,path_length,159.276
Modified,normal_city,2,subgoal_dist,9.0,path_length,153.253
Modified,normal_city,3,subgoal_dist,9.0,path_length,164.756
Modified,normal_city,4,subgoal_dist,9.0,path_length,159.383
Modified,normal_city,5,subgoal_dist,9.0,path_length,151.623
Modified,normal_city,6,subgoal_dist,9.0,path_length,149.209
Modified,normal_city,7,subgoal_dist,9.0,path_length,152.348
Modified,normal_city,8,subgoal_dist,9.0,path_length,212.412
Modified,normal_city,9,subgoal_dist,9.0,path_length,157.358
Modified,normal_city,10,subgoal_dist,9.0,path_length,152.05
Modified,normal_city,11,subgoal_dist,9.0,path_length,153.272
Modified,normal_city,12,subgoal_dist,9.0,path_length,164.879
Modified,normal_city,13,subgoal_dist,9.0,path_length,154.808
Modified,normal_city,14,subgoal_dist,9.0,path_length,149.26
Modified,normal_city,15,subgoal_dist,9.0,path_length,150.79
Modified,normal_city,16,subgoal_dist,9.0,path_length,147.59
Modified,normal_city,17,subgoal_dist,9.0,path_length,158.12
Modified,normal_city,18,subgoal_dist,9.0,path_length,149.044
Modified,normal_city,19,subgoal_dist,9.0,path_length,189.398
Modified,normal_city,20,subgoal_dist,9.0,path_length,152.431
Modified,normal_city,21,subgoal_dist,9.0,path_length,154.495
Modified,normal_city,22,subgoal_dist,9.0,path_length,160.984
Modified,normal_city,23,subgoal_dist,9.0,path_length,151.942
